iter	Passed	Remaining
415	3063	7982
416	3070	7973
417	3077	7966
418	3084	7958
419	3092	7952
420	3099	7944
421	3106	7935
422	3113	7927
423	3120	7919
424	3127	7910
425	3134	7903
426	3142	7895
427	3149	7888
428	3156	7880
429	3163	7872
430	3171	7865
431	3178	7857
432	3185	7849
433	3192	7840
434	3199	7832
435	3206	7824
436	3213	7817
437	3220	7809
438	3227	7800
439	3234	7792
440	3241	7784
441	3249	7777
442	3257	7771
443	3264	7763
444	3271	7755
445	3278	7747
446	3285	7738
447	3292	7730
448	3299	7723
449	3306	7715
450	3314	7708
451	3321	7700
452	3328	7692
453	3335	7684
454	3342	7677
455	3351	7673
456	3390	7736
457	3398	7731
458	3405	7724
459	3412	7715
460	3419	7706
461	3426	7698
462	3433	7690
463	3440	7681
464	3447	7673
465	3454	7665
466	3461	7657
467	3468	7648
468	3475	7640
469	3482	7631
470	3489	7623
471	3496	7615
472	3503	7607
473	3510	7599
474	3518	7592
475	3525	7584
476	3533	7577
477	3540	7569
478	3547	7561
479	3554	7553
480	3562	7546
481	3569	7538
482	3576	7530
483	3583	7522
484	3590	7514
485	3598	7507
486	3605	7500
487	3612	7492
488	3620	7484
489	3626	7476
490	3633	7467
491	3640	7459
492	3647	7450
493	3654	7442
494	3662	7435
495	3669	7427
496	3676	7419
497	3683	7411
498	3690	7403
499	3698	7396
500	3705	7388
501	3712	7381
502	3720	7373
503	3727	7365
504	3734	7357
505	3741	7349
506	3748	7342
507	3755	7333
508	3762	7326
509	3769	7317
510	3776	7309
511	3783	7301
512	3791	7295
513	3798	7287
514	3806	7279
515	3812	7270
516	3820	7263
517	3827	7255
518	3834	7248
519	3841	7240
520	3849	7233
521	3856	7224
522	3863	7216
523	3870	7209
524	3877	7201
525	3885	7194
526	3892	7186
527	3899	7179
528	3906	7171
529	3914	7163
530	3920	7155
531	3928	7147
532	3934	7138
533	3942	7131
534	3948	7122
535	3956	7114
536	3962	7106
537	3970	7098
538	3977	7091
539	3984	7083
540	3991	7075
541	3998	7067
542	4005	7059
543	4012	7051
544	4019	7043
545	4027	7036
546	4034	7028
547	4041	7020
548	4048	7013
549	4055	7004
550	4062	6997
551	4069	6989
552	4076	6981
553	4084	6974
554	4091	6965
555	4098	6957
556	4105	6949
557	4112	6942
558	4119	6934
559	4126	6927
560	4133	6919
561	4140	6911
562	4148	6903
563	4155	6895
564	4162	6887
565	4169	6879
566	4175	6871
567	4182	6863
568	4189	6855
569	4196	6847
570	4204	6840
571	4211	6832
572	4218	6824
573	4225	6817
574	4232	6809
575	4240	6801
576	4247	6793
577	4254	6786
578	4261	6778
579	4269	6771
580	4276	6764
581	4283	6756
582	4291	6750
583	4299	6743
584	4306	6735
585	4313	6727
586	4320	6719
587	4327	6712
588	4334	6704
589	4341	6696
590	4349	6689
591	4356	6681
592	4363	6673
593	4370	6665
594	4377	6658
595	4385	6651
596	4392	6643
597	4399	6636
598	4406	6628
599	4413	6620
600	4420	6612
601	4428	6605
602	4435	6597
603	4442	6590
604	4449	6582
605	4456	6575
606	4464	6567
607	4471	6559
608	4477	6551
609	4484	6543
610	4492	6536
611	4498	6527
612	4505	6519
613	4512	6511
614	4519	6504
615	4529	6499
616	4537	6493
617	4546	6488
618	4554	6482
619	4562	6475
620	4569	6468
621	4576	6460
622	4585	6454
623	4592	6447
624	4599	6439
625	4607	6432
626	4616	6427
627	4623	6419
628	4631	6413
629	4638	6405
630	4648	6402
631	4659	6399
632	4666	6392
633	4675	6386
634	4693	6394
635	4706	6393
636	4718	6392
637	4725	6385
638	4733	6377
639	4740	6370
640	4747	6362
641	4755	6355
642	4762	6348
643	4770	6341
644	4779	6336
645	4789	6331
646	4796	6324
647	4804	6317
648	4812	6309
649	4819	6302
650	4833	6303
651	4850	6308
652	4867	6313
653	4878	6310
654	4888	6306
655	4900	6305
656	4909	6299
657	4920	6296
658	4929	6291
659	4938	6284
660	4948	6281
661	4968	6290
662	4979	6286
663	4986	6278
664	4994	6271
665	5001	6263
666	5021	6270
667	5028	6263
668	5036	6255
669	5043	6247
670	5050	6239
671	5057	6231
672	5064	6223
673	5071	6215
674	5079	6207
675	5086	6199
676	5093	6191
677	5100	6183
678	5108	6176
679	5115	6168
680	5123	6162
681	5132	6155
682	5140	6149
683	5149	6143
684	5157	6136
685	5165	6129
686	5173	6122
687	5182	6116
688	5190	6109
689	5198	6102
690	5206	6095
691	5214	6088
692	5222	6081
693	5230	6074
694	5238	6067
695	5246	6061
696	5255	6054
697	5263	6047
698	5271	6040
699	5279	6033
700	5287	6026
701	5295	6019
702	5303	6013
703	5312	6006
704	5320	5999
705	5328	5992
706	5336	5985
707	5345	5979
708	5353	5972
709	5361	5965
710	5369	5958
711	5378	5952
712	5386	5945
713	5395	5939
714	5403	5932
715	5411	5925
716	5419	5918
717	5427	5911
718	5435	5904
719	5443	5897
720	5451	5890
721	5459	5883
722	5467	5876
723	5475	5869
724	5483	5862
725	5492	5855
726	5500	5848
727	5508	5841
728	5516	5834
729	5524	5827
730	5532	5820
731	5540	5813
732	5548	5806
733	5556	5799
734	5565	5792
735	5573	5785
736	5581	5778
737	5589	5771
738	5597	5763
739	5605	5757
740	5613	5750
741	5622	5743
742	5629	5736
743	5637	5728
744	5646	5722
745	5654	5715
746	5662	5707
747	5670	5701
748	5678	5694
749	5687	5687
750	5695	5680
751	5703	5673
752	5712	5666
753	5720	5659
754	5729	5653
755	5737	5646
756	5745	5639
757	5753	5632
758	5761	5625
759	5769	5618
760	5778	5611
761	5786	5604
762	5794	5597
763	5803	5590
764	5810	5582
765	5818	5575
766	5827	5568
767	5835	5562
768	5843	5555
769	5851	5547
770	5859	5540
771	5868	5533
772	5876	5526
773	5884	5519
774	5892	5512
775	5901	5505
776	5909	5498
777	5917	5491
778	5925	5484
779	5934	5477
780	5942	5470
781	5950	5463
782	5959	5456
783	5967	5449
784	5975	5442
785	5983	5435
786	5992	5428
787	6000	5421
788	6008	5414
789	6016	5407
790	6025	5400
791	6033	5393
792	6041	5386
793	6049	5379
794	6057	5371
795	6065	5364
796	6073	5357
797	6081	5350
798	6089	5342
799	6097	5335
800	6105	5328
801	6114	5321
802	6122	5314
803	6130	5307
804	6139	5300
805	6146	5292
806	6155	5285
807	6162	5278
808	6171	5271
809	6179	5264
810	6187	5256
811	6195	5249
812	6203	5242
813	6211	5234
814	6219	5227
815	6227	5220
816	6236	5213
817	6244	5206
818	6253	5199
819	6261	5192
820	6269	5185
821	6278	5178
822	6286	5171
823	6295	5164
824	6303	5157
825	6311	5150
826	6320	5143
827	6328	5135
828	6337	5129
829	6345	5122
830	6353	5115
831	6362	5108
832	6370	5101
833	6378	5094
834	6387	5087
835	6395	5079
836	6404	5072
837	6412	5065
838	6420	5058
839	6429	5051
840	6437	5044
841	6446	5037
842	6454	5030
843	6462	5023
844	6471	5016
845	6479	5009
846	6488	5002
847	6496	4995
848	6505	4988
849	6513	4980
850	6521	4973
851	6529	4966
852	6538	4959
853	6546	4952
854	6555	4945
855	6563	4938
856	6572	4930
857	6580	4923
858	6588	4916
859	6596	4908
860	6604	4901
861	6612	4894
862	6620	4886
863	6628	4879
864	6636	4871
865	6644	4864
866	6652	4857
867	6660	4849
868	6668	4842
869	6677	4835
870	6685	4827
871	6693	4820
872	6701	4813
873	6710	4806
874	6718	4798
875	6726	4791
876	6734	4783
877	6742	4776
878	6750	4769
879	6758	4761
880	6766	4754
881	6775	4747
882	6783	4739
883	6791	4732
884	6799	4724
885	6807	4717
886	6815	4710
887	6823	4702
888	6831	4695
889	6839	4687
890	6847	4680
891	6855	4672
892	6863	4665
893	6871	4657
894	6879	4650
895	6887	4643
896	6895	4635
897	6904	4628
898	6912	4621
899	6920	4613
900	6928	4606
901	6937	4599
902	6945	4592
903	6953	4584
904	6961	4577
905	6969	4569
906	6977	4562
907	6986	4554
908	6993	4547
909	7001	4539
910	7010	4532
911	7018	4525
912	7026	4517
913	7035	4510
914	7043	4503
915	7051	4495
916	7059	4488
917	7067	4480
918	7075	4473
919	7084	4466
920	7092	4458
921	7100	4451
922	7108	4443
923	7116	4436
924	7124	4428
925	7132	4421
926	7140	4413
927	7148	4406
928	7156	4398
929	7164	4391
930	7172	4383
931	7180	4376
932	7188	4368
933	7196	4360
934	7204	4353
935	7212	4346
936	7220	4338
937	7228	4331
938	7236	4323
939	7245	4316
940	7252	4308
941	7260	4300
942	7268	4293
943	7276	4285
944	7284	4278
945	7292	4270
946	7300	4263
947	7309	4255
948	7317	4248
949	7325	4240
950	7333	4233
951	7341	4226
952	7360	4224
953	7376	4221
954	7385	4214
955	7393	4207
956	7402	4200
957	7410	4192
958	7419	4185
959	7428	4178
960	7436	4170
961	7445	4163
962	7453	4156
963	7462	4149
964	7470	4141
965	7479	4134
966	7487	4126
967	7495	4119
968	7503	4111
969	7512	4104
970	7521	4097
971	7530	4090
972	7539	4083
973	7548	4076
974	7556	4068
975	7570	4064
976	7590	4063
977	7600	4056
978	7609	4049
979	7618	4042
980	7627	4035
981	7635	4027
982	7644	4020
983	7652	4012
984	7661	4005
985	7669	3998
986	7678	3991
987	7686	3983
988	7695	3976
989	7703	3968
990	7712	3961
991	7720	3953
992	7729	3946
993	7738	3939
994	7746	3931
995	7754	3924
996	7763	3916
997	7771	3909
998	7780	3902
999	7788	3894
1000	7797	3887
1001	7806	3879
1002	7815	3872
1003	7823	3864
1004	7841	3862
1005	7859	3859
1006	7867	3851
1007	7876	3844
1008	7885	3837
1009	7902	3834
1010	7912	3827
